ip_armies_size|최대 병력수에 미치는 요인
ip_armies_size_text|당신의 군대의 최대 병력수는 다른 영주들의 군대와 마찬가지로 몇가지 요인에 의해 영향을 받습니다.^^ 당신의 지휘력 능력치가 1씩 높아질 때마다 부대의 최대 병력수가 5명씩 늘어날 것입니다. 또한 매력 1점당 부대의 최대 병력수는 1씩 늘어납니다. 명성은 매 9점마다 최대 병력수를 1씩 늘어나게 할 것이며, 이 능력은 다른 이들이 당신의 편으로 설 수 있게 도와줄 것입니다. 소유하고 있는 도시마다 80명의 군대를 추가해주며 마을의 경우 40명을 추가해 줍니다. 이 군대는 그들의 군주에게 충성하듯 당신에게도 충성할 것입니다.
ip_morale|부대 사기
ip_morale_text|병사들이 전투와 행군에 대한 긴장과 압박을 이겨내기 위해서는 인내력과 용기, 훈련이 필요합니다. 사기는 부대에 속한 병사들의 이같은 능력과 행동력을 나타내주는 척도라 할 수 있고 이는 병사들의 행복감과는 다릅니다. 충분히 훈련받은 훌륭한 병사는 출정 도중 힘들 때마다 투덜대거나 우는 소리를 하겠지만 정작 화살이 날아오기 시작하면 서로 뭉치게 될 것입니다. 반면에 원하는 대로 다 들어주는 지휘관 휘하의 병사들은 적들이 돌격해 오기도 전에 무너지고 도망치게 될 것입니다.^^ 사기의 가장 큰 효과는 전투시의 행동에서 나타납니다. 사기에 따라 병사들은 전투가 그들에게 불리하다는 사실을 눈치 챘을 때, 그들의 적을 향해 사납게 달려들기도 하고 전선을 이탈하여 줄행랑을 치기도 합니다. 사기는 부대의 행군 속도에도 영향을 미칩니다. 의욕이 떨어진 병사는 육체적 한계가 일찍 찾아오고, 낙오한 병사들을 기다리기 위한 시간이 많아질수록 부대의 속도는 느려질 수 밖에 없습니다. 마지막으로, 사기가 매우 낮은 부대는 탈영병이 속출하여 고생하게 될 것입니다.^^ 사기에 영향을 주는 몇몇 요인들은 매우 직관적입니다. 예를 들어, 매번 이어지는 승리로 명성이 높은 뛰어난 지휘관은 병사들에게 충분한 자신감을 심어줄 것이고, 풍족하고 다양한 보급품과 밀리지 않는 급료 역시 병사들에게 안정감을 가져다 줄 것입니다.^^ 몇몇 다른 요인들은 이보다 덜 직관적인데, 그중 하나는 단결력입니다. 예를 들면 작은 그룹 안에서 병사들은 수적인 열세에 처했을 때 그들의 동료들 앞에서 겁쟁이처럼 보이지 않으려고 열심히 싸울 것입니다. 반면 큰 그룹에 속한 병사들은 지휘관이 불평을 들어주거나 그들 사이의 작은 싸움들을 관리할 시간이 없기 때문에 단결력이 약해집니다. 잦은 전투는 병사들 사이의 결속력을 강화시켜줍니다. 반대로 장기간 전투가 없으면 병사들은 지루해 하고 틈만 나면 자기들끼리 싸우려고 할 것입니다.^^ 사기에 관한 보고는 단순히 메뉴의 '보고서' 버튼을 클릭하면 볼 수 있고 플레이어는 병사의 사기에 영향을 주는 요인들이 무엇인지 알 수 있습니다.
ip_economy|경제
ip_economy_text|노스란드의 마을과 도시들은 주민들의 건강과 풍요로움을 유지하기 위해 다양한 종류의 상품들을 필요로 합니다. 가장 중요한 것은 음식입니다. 밀은 노스란드의 주요 작물이지만 사람에게는 지방과 단백질 역시 필요하기 때문에 육류나 어류 혹은 유제품등을 반드시 섭취해야만 하고, 육류를 보존하기 위한 소금 역시 매우 중요합니다. 먹을 것이 충족되면 입을 것을 필요로 할 것입니다. 그래서 양모나 리넨, 벨벳 같은 옷감의 수요가 생깁니다. 마지막으로 도구들이 거래됩니다. 쇠붙이나 도자기, 가죽 제품은 물론 전쟁을 위한 갑옷, 무기, 말 역시 필요합니다.^^ 대부분의 농산물들은 작은 마을에서 생산되며, 도시의 솜씨 좋은 장인들은 직물과 쇠붙이들을 만들어 냅니다. 또한 여러 자원들은 서로 다른 지역에서 생산되기 때문에 마을 - 도시간 무역과 도시 - 도시간 무역은 노스란드에서 부를 얻는 주요 수단입니다.^^ 무역이 활성화되면 상품은 풍족하고 저렴해질 것이고, 중심지의 주민들은 활기차고 건강해질 것이며, 주변 지역으로부터 많은 이주자들이 몰려들 것입니다. 중심지는 더 많이 생산하고 더 많이 소비하며 결과적으로 그들의 군주에게 더 많은 세금을 안겨다 줄 것입니다. 무역이 감소하면 일꾼들은 다른 곳으로 일자리를 찾으러 떠나게 되고 경제활동은 마비될 것입니다. 그렇기 때문에 상인들을 전쟁이나 도적들로부터 보호하는 일은 군주들의 주요 관심사일 수밖에 없습니다. 하지만 영리한 일부 상인들은 일부러 다른 지역으로부터 고립된 작은 마을을 찾아가기도 합니다. 그런 곳에서는 물건 가격의 균형이 이루어지지 않기 때문에 상당한 이득을 챙길 수도 있습니다.^^ 마을 사람들은 대부분 생산품을 도시의 시장으로 가져다 팔기 때문에 마을의 시장은 상당히 한적한 편이며 물건을 살 때는 싸게, 팔 때는 비싸게 팔려고 합니다. 몇몇 이들은 마을을 돌아다니며 물자를 조달하지만, 진정한 상인들은 도시에 머무르면서 이익을 얻습니다.^^ 어떤 지역의 번영에 영향을 미치는 요인들에 대해 알고 싶다면 그 곳의 조합장과 대화하면 됩니다. 또한 길거리의 주민들도 그들 자신이 하는 거래에 대한 정보를 이야기해주기도 합니다.
ip_courtship|구혼
ip_courtship_text|어쩌면 플레이어는 노스란드의 귀족 일원중 한 명과 결혼하고 싶어할 지도 모릅니다. 권력과 지위를 얻기 위해서 뿐만 아니라, 군주와의 관계를 돈독히 하거나 왕권 주장을 확립하는 데에도 결혼은 효과적입니다.^^ 남자와 여자는 결혼을 위한 요구 조건이 조금 다릅니다. 남성 인물은 전통적이며 보편적인 구혼방식을 따릅니다. 노스란드 귀족 사회에서 명성을 확고히 한 다음 신부의 부모나 보호자들의 호감을 얻고 그 지역의 전통에 따라 구애를 하면 됩니다. 만약 인내심이 부족하다면 과정을 생략하고 바로 결혼할 수도 있지만, 그로 인해 다른 영주들과의 관계가 나빠질 것을 각오해야 합니다.^^ 왕국의 다른 영주들도 신부감을 얻기 위해 플레이어와 경쟁할 것입니다. 또한 상대 여성의 취향은 예측불허라, 플레이어의 사랑을 거절할 가능성도 있습니다. 어느 곳에서나 다 그렇듯이, 노스란드에서도 항상 멋진 로맨스만 있는 것은 아닙니다. 플레이어는 다른 방법을 이용하여 비신사적으로 여성의 마음을 얻을 수도 있습니다. 하지만 이러한 방법들은 플레이어의 명성에 심각한 타격을 줄 것입니다.^^ 연회와 경기에 참가하는 것은 구혼을 위한 노스란드 귀족 사회로의 첫 걸음입니다. 또한 음유시인들은 유용한 구혼 정보와 사교계의 정보들을 많이 알고 있습니다.^^ 여성 인물 또한 결혼을 할 수 있습니다. 하지만 노스란드는 전통적인 중세 시대를 배경으로 하기 때문에 여자의 몸으로 모험의 길을 택한다는 것은 매우 드문 경우입니다. 그런 여성과 결혼할 만큼 열린 사고방식을 가진 영주를 만나는 것이 첫번째 과제가 될 것입니다.^^ 그렇다고 여성 인물이 꼭 나쁜 것만은 아닙니다. 여성 인물은 남성 인물과는 달리 복잡한 구혼 과정을 거칠 필요가 없습니다. 게다가 결혼을 통해 얻는 이득도 더 많기 때문에 여성 모험가들에게 결혼은 빠른 신분 상승과 권력 획득의 지름길이 될 수 있습니다. 몇몇 욕심 많은 여성들은 남편을 정치적 야망의 도구로 이용하기도 합니다.
ip_politics|정치
ip_politics_text|비록 서로 다른 문화를 보여주긴 하지만 노스란드의 모든 나라들은 기본적으로 봉건 제도라는 동일한 정치 체계를 가지고 있습니다. 봉건 제도의 기반이 되는 것은 군주가 가지는 영주들의 충성입니다. 충성 서약에 대한 대가로 영주들은 군주로부터 영지를 하사받으며, 이 영지에서 모집한 병사들은 군주를 위한 전투에 투입됩니다. 군주는 그를 따르는 자들을 보호하고 공정하게 대해야 할 의무가 있습니다.^^ 그러나 이것은 이론적인 것일 뿐, 실제로 영주들은 항상 국가가 원하는 대로 움직이지만은 않습니다. 영주들은 성격 차이 때문에 서로 다투기도 하고 친구가 되었다가 배신을 하기도 합니다. 같은 귀부인에게 사랑을 얻으려 다투는가 하면 심지어 군주가 하사하는 영지나 강력한 권한을 가진 총사령관 자리를 두고 싸우기도 합니다.^^ 노스란드의 국가끼리 전쟁을 시작할 때, 정치적 통일성은 병사들의 훈련 수준과 그 숫자만큼이나 중요합니다. 유대감이 강한 왕국의 귀족들은 다가오는 적들에 대항하여 강력한 대군을 모아 전투에 참여하겠지만, 잦은 분쟁으로 분열된 왕국은 총사령관이 그들을 소집한다 한들 아무도 모이지 않을 것입니다. 더구나 전세가 불리하다고 생각되면 그들의 의무를 내팽개치고 떠나버릴 지도 모릅니다. 정치적 통일성은 전쟁 중이 아니라도 여전히 효력을 발휘합니다. 분열된 나라의 영주들은 순찰이나 도적들을 잡는 다른 영주를 보더라도 도울 생각을 하지 않을 것입니다.^^ 적들이 코 앞에 있을때 말다툼을 일삼는 영주들은 자멸하겠지만, 그보다 더 중요한 사실이 있습니다. 영주들의 충성심은 그들이 속한 나라나 문화에 있는 것이 아니라 그들 자신과 가족의 이익에 있다는 것을 명심해야 합니다. 그들이 소속된 세력이 멸망할 위기에 처하거나, 군주에 대한 불만이 많은 영주들은 충성 서약을 내팽개칠 핑계를 찾아서 다른 세력으로 망명할 것입니다. 따라서 플레이어는 어제의 친구가 내일의 적이 되지 않도록 항상 조심해야 합니다.
ip_character_backgrounds|인물 배경
